ID,Street name,lien,longueur (m),osm_wid,osm_nidx,lon,lat,len
939,Allee de l'Attique,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView939.html""; ""939"")",76.69,24423701,"[283239065, 267857805]","[3.889093, 3.890042]","[43.60774, 43.607675]",[76.69]
940,Allee de l'Attique,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView940.html""; ""940"")",40.32,24423701,"[267857805, 360039057, 294024929]","[3.890042, 3.890487, 3.890541]","[43.607675, 43.607642, 43.60764]","[35.97, 4.35]"
942,Place de Marathon,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView942.html""; ""942"")",49.76,24477226,"[266121509, 266121510, 266121511, 266121512, 266121513, 267846071, 282712131]","[3.8885579999999997, 3.8886659999999997, 3.888743, 3.888773, 3.888741, 3.888657, 3.888587]","[43.607508, 43.607522, 43.607573, 43.607643, 43.607727, 43.607779, 43.607791]","[8.83, 8.35, 8.24, 9.69, 8.87, 5.78]"
943,Place de Marathon,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView943.html""; ""943"")",21.92,24477226,"[282712131, 266121515, 266121516, 266121506]","[3.888587, 3.888525, 3.888443, 3.888387]","[43.607791, 43.607785, 43.607751, 43.607678]","[5.02, 7.59, 9.31]"
945,Rue de Thebes,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView945.html""; ""945"")",28.77,24477230,"[266121551, 1111379590, 266121509]","[3.888519, 3.888525, 3.8885579999999997]","[43.60725, 43.607291000000004, 43.607508]","[4.54, 24.23]"
947,None-pedestrian,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView947.html""; ""947"")",36.18,24615086,"[2007666303, 265413883, 265413884]","[3.888223, 3.888217, 3.888178]","[43.609003, 43.608959, 43.608679]","[4.93, 31.25]"
948,None-pedestrian,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView948.html""; ""948"")",59.41,24615086,"[265413884, 267579083, 282710305, 282710306, 267578535]","[3.888178, 3.88818, 3.888336, 3.888324, 3.888667]","[43.608679, 43.60862, 43.608606, 43.608495, 43.608469]","[6.59, 12.67, 12.39, 27.76]"
949,None-pedestrian,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView949.html""; ""949"")",41.09,24615086,"[267578535, 282710322, 368009809]","[3.888667, 3.888955, 3.889176]","[43.608469, 43.608448, 43.608461]","[23.27, 17.82]"
951,Place Paul Bec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView951.html""; ""951"")",28.59,24615140,"[1547551133, 266328645]","[3.886565, 3.886529]","[43.608548, 43.608292]",[28.59]
952,Place Paul Bec,"LIEN.HYPERTEXTE(""http://countemp.github.io/vivetic_Montpellier/links/DualView952.html""; ""952"")",37.6,24615140,"[266328645, 267580540]","[3.886529, 3.886496]","[43.608292, 43.607954]",[37.6]
